ordinal,output_field,group,chain_family,source_kind,source,operations,policies
47,onlySignal,core,core,path,$.singleSignals[*].name,array_mode,
48,indexedSignal,core,core,path,$.signals[*].name,array_mode|array_index,
49,collectedSignals,core,core,path,$.signals[*].name,array_mode,
50,filteredSignals,core,core,path,$.signals[?(@.value >= 70)].name,array_mode,
51,flattenedSignals,core,core,path,$.signals[*].name,flatten,
52,distinctSignalCategories,core,core,path,$.signals[*].category,distinct,
53,signalValueSum,core,core,path,$.signals[*].value,aggregate,
54,signalValueMin,core,core,path,$.signals[*].value,aggregate,
55,signalValueMax,core,core,path,$.signals[*].value,aggregate,
56,signalValueCount,core,core,path,$.signals[*].value,aggregate,
57,mappedHotSignals,core,core,path,$.signals[*],filter|map,
58,arithmeticExpression,core,core,derived,,expression|round,
59,booleanExpression,core,core,derived,,expression,
60,policyPrefix,core,core,path,$.packet.policyNumber,substring,
61,objectProjection,core,core,derived,,object,
62,mergedContext,core,core,derived,,merge,
63,coalescedValue,core,core,valueExpr,,,
64,caseValue,core,core,valueExpr,,,
65,lookupExpression,core,core,valueExpr,,,
66,functionConcat,core,core,valueExpr,,,
67,functionUpper,core,core,valueExpr,,,
68,functionLower,core,core,valueExpr,,,
69,functionTrim,core,core,valueExpr,,,
70,functionSubstring,core,core,valueExpr,,,
71,functionSplit,core,core,valueExpr,,,
72,functionRound,core,core,valueExpr,,,
73,functionHash,core,core,valueExpr,,,
74,missingAsNull,core,core,path,$.packet.notPresent,onMissing,
75,itemsAsJson,core,core,path,$.signals,onArray,
76,customerAsJson,core,core,path,$.customer,onObject,
77,decimalTruncated,core,core,path,$.order.amount,cast|decimalScale|decimalScalePolicy,
78,wideField0001,hard-wide,chain-0,path,$.wide.field0001,required|normalize_string|case_convert|regex_replace|replacement|template,required
79,wideField0002,hard-wide,chain-1,path,$.wide.field0002,required|normalize_string|case_convert|regex_extract|template,required
80,wideField0003,hard-wide,chain-2,path,$.wide.field0003,required|normalize_string|regex_replace|replacement|substring|template,required
81,wideField0004,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
82,wideField0005,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
83,wideField0006,hard-wide,chain-5,path,$.wide.field0006,required|normalize_string|case_convert|regex_match|template,required
84,wideField0007,hard-wide,chain-6,path,$.wide.field0007,required|normalize_string|substring|hash|template,required
85,wideField0008,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
86,wideField0009,hard-wide,chain-0,path,$.wide.field0009,required|normalize_string|case_convert|regex_replace|replacement|template,required
87,wideField0010,hard-wide,chain-1,path,$.wide.field0010,required|normalize_string|case_convert|regex_extract|template,required
88,wideField0011,hard-wide,chain-2,path,$.wide.field0011,required|normalize_string|regex_replace|replacement|substring|template,required
89,wideField0012,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
90,wideField0013,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
91,wideField0014,hard-wide,chain-5,path,$.wide.field0014,required|normalize_string|case_convert|regex_match|template,required
92,wideField0015,hard-wide,chain-6,path,$.wide.field0015,required|normalize_string|substring|hash|template,required
93,wideField0016,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
94,wideField0017,hard-wide,chain-0,path,$.wide.field0017,required|normalize_string|case_convert|regex_replace|replacement|template,required
95,wideField0018,hard-wide,chain-1,path,$.wide.field0018,required|normalize_string|case_convert|regex_extract|template,required
96,wideField0019,hard-wide,chain-2,path,$.wide.field0019,required|normalize_string|regex_replace|replacement|substring|template,required
97,wideField0020,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
98,wideField0021,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
99,wideField0022,hard-wide,chain-5,path,$.wide.field0022,required|normalize_string|case_convert|regex_match|template,required
100,wideField0023,hard-wide,chain-6,path,$.wide.field0023,required|normalize_string|substring|hash|template,required
101,wideField0024,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
102,wideField0025,hard-wide,chain-0,path,$.wide.field0025,required|normalize_string|case_convert|regex_replace|replacement|template,required
103,wideField0026,hard-wide,chain-1,path,$.wide.field0026,required|normalize_string|case_convert|regex_extract|template,required
104,wideField0027,hard-wide,chain-2,path,$.wide.field0027,required|normalize_string|regex_replace|replacement|substring|template,required
105,wideField0028,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
106,wideField0029,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
107,wideField0030,hard-wide,chain-5,path,$.wide.field0030,required|normalize_string|case_convert|regex_match|template,required
108,wideField0031,hard-wide,chain-6,path,$.wide.field0031,required|normalize_string|substring|hash|template,required
109,wideField0032,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
110,wideField0033,hard-wide,chain-0,path,$.wide.field0033,required|normalize_string|case_convert|regex_replace|replacement|template,required
111,wideField0034,hard-wide,chain-1,path,$.wide.field0034,required|normalize_string|case_convert|regex_extract|template,required
112,wideField0035,hard-wide,chain-2,path,$.wide.field0035,required|normalize_string|regex_replace|replacement|substring|template,required
113,wideField0036,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
114,wideField0037,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
115,wideField0038,hard-wide,chain-5,path,$.wide.field0038,required|normalize_string|case_convert|regex_match|template,required
116,wideField0039,hard-wide,chain-6,path,$.wide.field0039,required|normalize_string|substring|hash|template,required
117,wideField0040,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
118,wideField0041,hard-wide,chain-0,path,$.wide.field0041,required|normalize_string|case_convert|regex_replace|replacement|template,required
119,wideField0042,hard-wide,chain-1,path,$.wide.field0042,required|normalize_string|case_convert|regex_extract|template,required
120,wideField0043,hard-wide,chain-2,path,$.wide.field0043,required|normalize_string|regex_replace|replacement|substring|template,required
121,wideField0044,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
122,wideField0045,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
123,wideField0046,hard-wide,chain-5,path,$.wide.field0046,required|normalize_string|case_convert|regex_match|template,required
124,wideField0047,hard-wide,chain-6,path,$.wide.field0047,required|normalize_string|substring|hash|template,required
125,wideField0048,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
126,wideField0049,hard-wide,chain-0,path,$.wide.field0049,required|normalize_string|case_convert|regex_replace|replacement|template,required
127,wideField0050,hard-wide,chain-1,path,$.wide.field0050,required|normalize_string|case_convert|regex_extract|template,required
128,wideField0051,hard-wide,chain-2,path,$.wide.field0051,required|normalize_string|regex_replace|replacement|substring|template,required
129,wideField0052,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
130,wideField0053,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
131,wideField0054,hard-wide,chain-5,path,$.wide.field0054,required|normalize_string|case_convert|regex_match|template,required
132,wideField0055,hard-wide,chain-6,path,$.wide.field0055,required|normalize_string|substring|hash|template,required
133,wideField0056,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
134,wideField0057,hard-wide,chain-0,path,$.wide.field0057,required|normalize_string|case_convert|regex_replace|replacement|template,required
135,wideField0058,hard-wide,chain-1,path,$.wide.field0058,required|normalize_string|case_convert|regex_extract|template,required
136,wideField0059,hard-wide,chain-2,path,$.wide.field0059,required|normalize_string|regex_replace|replacement|substring|template,required
137,wideField0060,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
138,wideField0061,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
139,wideField0062,hard-wide,chain-5,path,$.wide.field0062,required|normalize_string|case_convert|regex_match|template,required
140,wideField0063,hard-wide,chain-6,path,$.wide.field0063,required|normalize_string|substring|hash|template,required
141,wideField0064,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
142,wideField0065,hard-wide,chain-0,path,$.wide.field0065,required|normalize_string|case_convert|regex_replace|replacement|template,required
143,wideField0066,hard-wide,chain-1,path,$.wide.field0066,required|normalize_string|case_convert|regex_extract|template,required
144,wideField0067,hard-wide,chain-2,path,$.wide.field0067,required|normalize_string|regex_replace|replacement|substring|template,required
145,wideField0068,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
146,wideField0069,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
147,wideField0070,hard-wide,chain-5,path,$.wide.field0070,required|normalize_string|case_convert|regex_match|template,required
148,wideField0071,hard-wide,chain-6,path,$.wide.field0071,required|normalize_string|substring|hash|template,required
149,wideField0072,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
150,wideField0073,hard-wide,chain-0,path,$.wide.field0073,required|normalize_string|case_convert|regex_replace|replacement|template,required
151,wideField0074,hard-wide,chain-1,path,$.wide.field0074,required|normalize_string|case_convert|regex_extract|template,required
152,wideField0075,hard-wide,chain-2,path,$.wide.field0075,required|normalize_string|regex_replace|replacement|substring|template,required
153,wideField0076,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
154,wideField0077,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
155,wideField0078,hard-wide,chain-5,path,$.wide.field0078,required|normalize_string|case_convert|regex_match|template,required
156,wideField0079,hard-wide,chain-6,path,$.wide.field0079,required|normalize_string|substring|hash|template,required
157,wideField0080,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
158,wideField0081,hard-wide,chain-0,path,$.wide.field0081,required|normalize_string|case_convert|regex_replace|replacement|template,required
159,wideField0082,hard-wide,chain-1,path,$.wide.field0082,required|normalize_string|case_convert|regex_extract|template,required
160,wideField0083,hard-wide,chain-2,path,$.wide.field0083,required|normalize_string|regex_replace|replacement|substring|template,required
161,wideField0084,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
162,wideField0085,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
163,wideField0086,hard-wide,chain-5,path,$.wide.field0086,required|normalize_string|case_convert|regex_match|template,required
164,wideField0087,hard-wide,chain-6,path,$.wide.field0087,required|normalize_string|substring|hash|template,required
165,wideField0088,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
166,wideField0089,hard-wide,chain-0,path,$.wide.field0089,required|normalize_string|case_convert|regex_replace|replacement|template,required
167,wideField0090,hard-wide,chain-1,path,$.wide.field0090,required|normalize_string|case_convert|regex_extract|template,required
168,wideField0091,hard-wide,chain-2,path,$.wide.field0091,required|normalize_string|regex_replace|replacement|substring|template,required
169,wideField0092,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
170,wideField0093,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
171,wideField0094,hard-wide,chain-5,path,$.wide.field0094,required|normalize_string|case_convert|regex_match|template,required
172,wideField0095,hard-wide,chain-6,path,$.wide.field0095,required|normalize_string|substring|hash|template,required
173,wideField0096,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
174,wideField0097,hard-wide,chain-0,path,$.wide.field0097,required|normalize_string|case_convert|regex_replace|replacement|template,required
175,wideField0098,hard-wide,chain-1,path,$.wide.field0098,required|normalize_string|case_convert|regex_extract|template,required
176,wideField0099,hard-wide,chain-2,path,$.wide.field0099,required|normalize_string|regex_replace|replacement|substring|template,required
177,wideField0100,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
178,wideField0101,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
179,wideField0102,hard-wide,chain-5,path,$.wide.field0102,required|normalize_string|case_convert|regex_match|template,required
180,wideField0103,hard-wide,chain-6,path,$.wide.field0103,required|normalize_string|substring|hash|template,required
181,wideField0104,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
182,wideField0105,hard-wide,chain-0,path,$.wide.field0105,required|normalize_string|case_convert|regex_replace|replacement|template,required
183,wideField0106,hard-wide,chain-1,path,$.wide.field0106,required|normalize_string|case_convert|regex_extract|template,required
184,wideField0107,hard-wide,chain-2,path,$.wide.field0107,required|normalize_string|regex_replace|replacement|substring|template,required
185,wideField0108,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
186,wideField0109,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
187,wideField0110,hard-wide,chain-5,path,$.wide.field0110,required|normalize_string|case_convert|regex_match|template,required
188,wideField0111,hard-wide,chain-6,path,$.wide.field0111,required|normalize_string|substring|hash|template,required
189,wideField0112,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
190,wideField0113,hard-wide,chain-0,path,$.wide.field0113,required|normalize_string|case_convert|regex_replace|replacement|template,required
191,wideField0114,hard-wide,chain-1,path,$.wide.field0114,required|normalize_string|case_convert|regex_extract|template,required
192,wideField0115,hard-wide,chain-2,path,$.wide.field0115,required|normalize_string|regex_replace|replacement|substring|template,required
193,wideField0116,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
194,wideField0117,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
195,wideField0118,hard-wide,chain-5,path,$.wide.field0118,required|normalize_string|case_convert|regex_match|template,required
196,wideField0119,hard-wide,chain-6,path,$.wide.field0119,required|normalize_string|substring|hash|template,required
197,wideField0120,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
198,wideField0121,hard-wide,chain-0,path,$.wide.field0121,required|normalize_string|case_convert|regex_replace|replacement|template,required
199,wideField0122,hard-wide,chain-1,path,$.wide.field0122,required|normalize_string|case_convert|regex_extract|template,required
200,wideField0123,hard-wide,chain-2,path,$.wide.field0123,required|normalize_string|regex_replace|replacement|substring|template,required
201,wideField0124,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
202,wideField0125,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
203,wideField0126,hard-wide,chain-5,path,$.wide.field0126,required|normalize_string|case_convert|regex_match|template,required
204,wideField0127,hard-wide,chain-6,path,$.wide.field0127,required|normalize_string|substring|hash|template,required
205,wideField0128,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
206,wideField0129,hard-wide,chain-0,path,$.wide.field0129,required|normalize_string|case_convert|regex_replace|replacement|template,required
207,wideField0130,hard-wide,chain-1,path,$.wide.field0130,required|normalize_string|case_convert|regex_extract|template,required
208,wideField0131,hard-wide,chain-2,path,$.wide.field0131,required|normalize_string|regex_replace|replacement|substring|template,required
209,wideField0132,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
210,wideField0133,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
211,wideField0134,hard-wide,chain-5,path,$.wide.field0134,required|normalize_string|case_convert|regex_match|template,required
212,wideField0135,hard-wide,chain-6,path,$.wide.field0135,required|normalize_string|substring|hash|template,required
213,wideField0136,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
214,wideField0137,hard-wide,chain-0,path,$.wide.field0137,required|normalize_string|case_convert|regex_replace|replacement|template,required
215,wideField0138,hard-wide,chain-1,path,$.wide.field0138,required|normalize_string|case_convert|regex_extract|template,required
216,wideField0139,hard-wide,chain-2,path,$.wide.field0139,required|normalize_string|regex_replace|replacement|substring|template,required
217,wideField0140,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
218,wideField0141,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
219,wideField0142,hard-wide,chain-5,path,$.wide.field0142,required|normalize_string|case_convert|regex_match|template,required
220,wideField0143,hard-wide,chain-6,path,$.wide.field0143,required|normalize_string|substring|hash|template,required
221,wideField0144,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
222,wideField0145,hard-wide,chain-0,path,$.wide.field0145,required|normalize_string|case_convert|regex_replace|replacement|template,required
223,wideField0146,hard-wide,chain-1,path,$.wide.field0146,required|normalize_string|case_convert|regex_extract|template,required
224,wideField0147,hard-wide,chain-2,path,$.wide.field0147,required|normalize_string|regex_replace|replacement|substring|template,required
225,wideField0148,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
226,wideField0149,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
227,wideField0150,hard-wide,chain-5,path,$.wide.field0150,required|normalize_string|case_convert|regex_match|template,required
228,wideField0151,hard-wide,chain-6,path,$.wide.field0151,required|normalize_string|substring|hash|template,required
229,wideField0152,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
230,wideField0153,hard-wide,chain-0,path,$.wide.field0153,required|normalize_string|case_convert|regex_replace|replacement|template,required
231,wideField0154,hard-wide,chain-1,path,$.wide.field0154,required|normalize_string|case_convert|regex_extract|template,required
232,wideField0155,hard-wide,chain-2,path,$.wide.field0155,required|normalize_string|regex_replace|replacement|substring|template,required
233,wideField0156,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
234,wideField0157,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
235,wideField0158,hard-wide,chain-5,path,$.wide.field0158,required|normalize_string|case_convert|regex_match|template,required
236,wideField0159,hard-wide,chain-6,path,$.wide.field0159,required|normalize_string|substring|hash|template,required
237,wideField0160,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
238,wideField0161,hard-wide,chain-0,path,$.wide.field0161,required|normalize_string|case_convert|regex_replace|replacement|template,required
239,wideField0162,hard-wide,chain-1,path,$.wide.field0162,required|normalize_string|case_convert|regex_extract|template,required
240,wideField0163,hard-wide,chain-2,path,$.wide.field0163,required|normalize_string|regex_replace|replacement|substring|template,required
241,wideField0164,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
242,wideField0165,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
243,wideField0166,hard-wide,chain-5,path,$.wide.field0166,required|normalize_string|case_convert|regex_match|template,required
244,wideField0167,hard-wide,chain-6,path,$.wide.field0167,required|normalize_string|substring|hash|template,required
245,wideField0168,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
246,wideField0169,hard-wide,chain-0,path,$.wide.field0169,required|normalize_string|case_convert|regex_replace|replacement|template,required
247,wideField0170,hard-wide,chain-1,path,$.wide.field0170,required|normalize_string|case_convert|regex_extract|template,required
248,wideField0171,hard-wide,chain-2,path,$.wide.field0171,required|normalize_string|regex_replace|replacement|substring|template,required
249,wideField0172,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
250,wideField0173,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
251,wideField0174,hard-wide,chain-5,path,$.wide.field0174,required|normalize_string|case_convert|regex_match|template,required
252,wideField0175,hard-wide,chain-6,path,$.wide.field0175,required|normalize_string|substring|hash|template,required
253,wideField0176,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
254,wideField0177,hard-wide,chain-0,path,$.wide.field0177,required|normalize_string|case_convert|regex_replace|replacement|template,required
255,wideField0178,hard-wide,chain-1,path,$.wide.field0178,required|normalize_string|case_convert|regex_extract|template,required
256,wideField0179,hard-wide,chain-2,path,$.wide.field0179,required|normalize_string|regex_replace|replacement|substring|template,required
257,wideField0180,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
258,wideField0181,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
259,wideField0182,hard-wide,chain-5,path,$.wide.field0182,required|normalize_string|case_convert|regex_match|template,required
260,wideField0183,hard-wide,chain-6,path,$.wide.field0183,required|normalize_string|substring|hash|template,required
261,wideField0184,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
262,wideField0185,hard-wide,chain-0,path,$.wide.field0185,required|normalize_string|case_convert|regex_replace|replacement|template,required
263,wideField0186,hard-wide,chain-1,path,$.wide.field0186,required|normalize_string|case_convert|regex_extract|template,required
264,wideField0187,hard-wide,chain-2,path,$.wide.field0187,required|normalize_string|regex_replace|replacement|substring|template,required
265,wideField0188,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
266,wideField0189,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
267,wideField0190,hard-wide,chain-5,path,$.wide.field0190,required|normalize_string|case_convert|regex_match|template,required
268,wideField0191,hard-wide,chain-6,path,$.wide.field0191,required|normalize_string|substring|hash|template,required
269,wideField0192,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
270,wideField0193,hard-wide,chain-0,path,$.wide.field0193,required|normalize_string|case_convert|regex_replace|replacement|template,required
271,wideField0194,hard-wide,chain-1,path,$.wide.field0194,required|normalize_string|case_convert|regex_extract|template,required
272,wideField0195,hard-wide,chain-2,path,$.wide.field0195,required|normalize_string|regex_replace|replacement|substring|template,required
273,wideField0196,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
274,wideField0197,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
275,wideField0198,hard-wide,chain-5,path,$.wide.field0198,required|normalize_string|case_convert|regex_match|template,required
276,wideField0199,hard-wide,chain-6,path,$.wide.field0199,required|normalize_string|substring|hash|template,required
277,wideField0200,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
278,wideField0201,hard-wide,chain-0,path,$.wide.field0201,required|normalize_string|case_convert|regex_replace|replacement|template,required
279,wideField0202,hard-wide,chain-1,path,$.wide.field0202,required|normalize_string|case_convert|regex_extract|template,required
280,wideField0203,hard-wide,chain-2,path,$.wide.field0203,required|normalize_string|regex_replace|replacement|substring|template,required
281,wideField0204,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
282,wideField0205,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
283,wideField0206,hard-wide,chain-5,path,$.wide.field0206,required|normalize_string|case_convert|regex_match|template,required
284,wideField0207,hard-wide,chain-6,path,$.wide.field0207,required|normalize_string|substring|hash|template,required
285,wideField0208,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
286,wideField0209,hard-wide,chain-0,path,$.wide.field0209,required|normalize_string|case_convert|regex_replace|replacement|template,required
287,wideField0210,hard-wide,chain-1,path,$.wide.field0210,required|normalize_string|case_convert|regex_extract|template,required
288,wideField0211,hard-wide,chain-2,path,$.wide.field0211,required|normalize_string|regex_replace|replacement|substring|template,required
289,wideField0212,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
290,wideField0213,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
291,wideField0214,hard-wide,chain-5,path,$.wide.field0214,required|normalize_string|case_convert|regex_match|template,required
292,wideField0215,hard-wide,chain-6,path,$.wide.field0215,required|normalize_string|substring|hash|template,required
293,wideField0216,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
294,wideField0217,hard-wide,chain-0,path,$.wide.field0217,required|normalize_string|case_convert|regex_replace|replacement|template,required
295,wideField0218,hard-wide,chain-1,path,$.wide.field0218,required|normalize_string|case_convert|regex_extract|template,required
296,wideField0219,hard-wide,chain-2,path,$.wide.field0219,required|normalize_string|regex_replace|replacement|substring|template,required
297,wideField0220,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
298,wideField0221,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
299,wideField0222,hard-wide,chain-5,path,$.wide.field0222,required|normalize_string|case_convert|regex_match|template,required
300,wideField0223,hard-wide,chain-6,path,$.wide.field0223,required|normalize_string|substring|hash|template,required
301,wideField0224,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
302,wideField0225,hard-wide,chain-0,path,$.wide.field0225,required|normalize_string|case_convert|regex_replace|replacement|template,required
303,wideField0226,hard-wide,chain-1,path,$.wide.field0226,required|normalize_string|case_convert|regex_extract|template,required
304,wideField0227,hard-wide,chain-2,path,$.wide.field0227,required|normalize_string|regex_replace|replacement|substring|template,required
305,wideField0228,hard-wide,chain-3,valueExpr,,normalize_string|case_convert|template,
306,wideField0229,hard-wide,chain-4,valueExpr,,normalize_string|case_convert|regex_replace|replacement,
307,wideField0230,hard-wide,chain-5,path,$.wide.field0230,required|normalize_string|case_convert|regex_match|template,required
308,wideField0231,hard-wide,chain-6,path,$.wide.field0231,required|normalize_string|substring|hash|template,required
309,wideField0232,hard-wide,chain-7,valueExpr,,normalize_string|case_convert|regex_replace|replacement|template,
310,wideField0233,hard-wide,chain-0,path,$.wide.field0233,required|normalize_string|case_convert|regex_replace|replacement|template,required
